id,price
59970,26.0
107540,25.0
45945,34.0
49511,45.0
12978,36.0
82280,13.0
69392,62.0
126493,10.0
57841,20.0
87448,33.0
73416,15.0
48473,50.0
74719,24.0
78352,36.0
28724,29.0
42614,34.0
113270,50.0
35597,40.0
29767,10.0
64904,19.0
29584,15.0
99912,9.0
94643,21.0
126842,20.0
80937,30.0
20855,16.0
108532,46.0
31316,22.0
107599,70.0
14670,41.0
113118,12.0
13215,18.0
45776,16.0
34525,14.0
62485,85.0
44687,46.0
114969,10.0
28393,85.0
11989,29.0
36875,32.0
68130,34.0
10285,17.0
73822,35.0
65703,19.0
127058,14.0
100207,38.0
29212,26.0
56465,95.0
26710,29.0
34754,28.0
112428,25.0
62139,15.0
124923,30.0
95671,11.0
58002,22.0
80727,34.0
45768,18.0
124643,69.0
102951,75.0
6416,10.0
17671,17.0
78792,36.0
52428,80.0
51291,12.0
115429,14.0
106904,30.0
111884,24.0
64135,30.0
107823,80.0
100225,13.0
11571,32.0
25618,20.0
27355,30.0
59750,50.0
19210,22.0
11466,28.0
120753,19.0
19060,45.0
125182,48.0
76434,20.0
11152,45.0
125363,20.0
25967,40.0
98265,12.0
106860,110.0
42642,27.0
43841,8.0
17399,11.0
73602,20.0
84267,75.0
72220,48.0
39694,9.0
99468,24.0
25213,212.0
112267,23.0
128908,50.0
128890,62.0
52932,30.0
92552,22.0
113090,34.0
103088,13.0
17118,42.0
59358,15.0
10418,40.0
48297,44.0
87790,21.0
38920,42.0
77997,15.0
11032,14.0
19380,25.0
82204,12.0
44326,19.0
63267,28.0
38747,19.0
83912,33.0
127288,28.0
7235,10.0
51778,28.0
75284,13.0
43289,10.0
124916,31.0
31584,18.0
28118,14.0
105517,25.0
114083,19.0
86742,50.0
58669,25.0
39153,20.0
82259,70.0
122229,37.0
123276,8.0
58933,24.0
83023,18.0
85257,30.0
37328,11.0
65348,10.0
120230,95.0
72747,110.0
116256,14.0
83069,16.0
95893,40.0
123566,12.0
53027,30.0
68523,40.0
38625,11.0
69041,24.0
128404,25.0
21370,30.0
73631,23.0
35599,37.0
122490,40.0
107941,70.0
92836,18.0
105122,15.0
15586,45.0
101307,14.0
16187,70.0
21128,80.0
28300,21.0
72543,18.0
81567,30.0
104779,10.0
44615,28.0
68067,135.0
116636,17.0
90836,39.0
106189,60.0
60668,11.0
108273,22.0
84926,35.0
17412,11.0
86355,40.0
36114,15.0
63501,55.0
45481,50.0
9752,26.0
29475,20.0
120112,17.0
67608,80.0
30821,65.0
116836,75.0
34409,27.0
17987,60.0
105131,13.0
30933,12.0
66351,35.0
15679,31.0
93548,130.0
28909,15.0
41493,18.0
99714,7.0
79724,85.0
48601,15.0
27531,10.0
54567,18.0
118372,22.0
45703,39.0
22776,19.0
109200,55.0
97967,19.0
6253,25.0
11072,15.0
40841,48.0
42545,80.0
64914,18.0
109231,195.0
112398,15.0
966,9.0
69440,54.0
79469,7.0
76200,49.0
114542,90.0
120003,22.0
3682,11.0
2385,30.0
91328,31.0
124787,11.0
19982,20.0
66529,45.0
35248,10.0
59989,70.0
108675,18.0
68386,14.0
97751,41.0
102041,13.0
92739,15.0
20115,11.0
41738,15.0
114130,15.0
73161,50.0
18447,25.0
15891,35.0
11803,12.0
105776,40.0
28579,45.0
127082,25.0
71044,12.0
70148,25.0
113634,63.0
11983,36.0
86066,35.0
74286,25.0
66875,27.0
111028,65.0
10816,28.0
70565,12.0
116490,37.0
45052,65.0
93732,34.0
41863,55.0
68177,25.0
68974,46.0
64275,27.0
99813,20.0
38492,22.0
57855,17.0
90310,18.0
81967,50.0
39052,30.0
64343,43.0
78117,19.0
66586,26.0
104288,18.0
89584,9.0
123793,72.0
21603,25.0
90339,95.0
54525,25.0
11530,26.0
61420,9.0
83595,25.0
95273,28.0
78746,35.0
124970,10.0
38397,12.0
120751,26.0
8928,22.0
127475,15.0
30408,13.0
47667,23.0
95701,40.0
21965,18.0
53353,45.0
3930,8.0
45248,20.0
28574,44.0
36656,26.0
72140,45.0
54380,45.0
89423,20.0
85118,25.0
113761,78.0
8046,12.0
32739,32.0
125489,25.0
20666,15.0
19032,90.0
14280,18.0
